"","Country","OCI_Criminality avg,","OCI_Criminal markets avg,","OCI_Human trafficking","OCI_Human smuggling","OCI_Arms trafficking","OCI_Flora crimes","OCI_Fauna crimes","OCI_Non-renewable resource crimes","OCI_Heroin trade","OCI_Cocaine trade","OCI_Cannabis trade","OCI_Synthetic drug trade","OCI_Criminal actors avg,","OCI_Mafia-style groups","OCI_Criminal networks","OCI_State-embedded actors","OCI_Foreign actors","OCI_Resilience avg,","OCI_Political leadership and governance","OCI_Government transparency and accountability","OCI_International cooperation","OCI_National policies and laws","OCI_Judicial system and detention","OCI_Law enforcement","OCI_Territorial integrity","OCI_Anti-money laundering","OCI_Economic regulatory capacity","OCI_Victim and witness support","OCI_Prevention","OCI_Non-state actors"
"14","HU",0.597777777777778,0.585555555555555,0.388888888888889,0.388888888888889,0.611111111111111,0.666666666666667,0.666666666666667,0.722222222222222,0.555555555555556,0.555555555555556,0.5,0.444444444444444,0.611111111111111,1,0.666666666666667,0.333333333333333,0.5,0.431111111111111,0.388888888888889,0.277777777777778,0.388888888888889,0.444444444444444,0.444444444444444,0.444444444444444,0.611111111111111,0.5,0.388888888888889,0.388888888888889,0.555555555555556,0.333333333333333
"15","IE",0.546666666666667,0.536666666666667,0.555555555555556,0.611111111111111,0.666666666666667,0.888888888888889,0.666666666666667,0.5,0.444444444444444,0.333333333333333,0.444444444444444,0.444444444444444,0.555555555555556,0.388888888888889,0.444444444444444,0.666666666666667,0.388888888888889,0.703333333333333,0.666666666666667,0.777777777777778,0.777777777777778,0.777777777777778,0.666666666666667,0.666666666666667,0.722222222222222,0.777777777777778,0.777777777777778,0.666666666666667,0.5,0.666666666666667
"16","IT",0.42,0.474444444444444,0.333333333333333,0.277777777777778,0.444444444444444,0.777777777777778,0.722222222222222,0.5,0.555555555555556,0.222222222222222,0.5,0.555555555555556,0.366666666666667,0.111111111111111,0.722222222222222,0.388888888888889,0.277777777777778,0.606666666666667,0.611111111111111,0.444444444444444,0.888888888888889,0.777777777777778,0.5,0.722222222222222,0.555555555555556,0.555555555555556,0.444444444444444,0.5,0.555555555555556,0.722222222222222
"17","LT",0.677777777777778,0.688888888888889,0.666666666666667,0.777777777777778,0.777777777777778,0.944444444444444,0.777777777777778,0.833333333333333,0.611111111111111,0.555555555555556,0.611111111111111,0.611111111111111,0.666666666666667,0.666666666666667,0.611111111111111,0.666666666666667,0.666666666666667,0.698888888888889,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.777777777777778,0.722222222222222,0.777777777777778,0.611111111111111,0.722222222222222,0.666666666666667,0.611111111111111,0.666666666666667
"18","LU",0.794444444444445,0.788888888888889,0.722222222222222,0.888888888888889,0.888888888888889,0.944444444444444,0.944444444444444,0.944444444444444,0.777777777777778,0.722222222222222,0.833333333333333,0.722222222222222,0.8,1,0.888888888888889,0.888888888888889,0.555555555555556,0.722222222222222,0.777777777777778,0.611111111111111,0.888888888888889,0.777777777777778,0.722222222222222,0.666666666666667,0.777777777777778,0.5,0.666666666666667,0.722222222222222,0.777777777777778,0.777777777777778
"19","LV",0.677777777777778,0.611111111111111,0.555555555555556,0.611111111111111,0.722222222222222,0.944444444444444,0.888888888888889,0.888888888888889,0.611111111111111,0.5,0.5,0.5,0.744444444444444,0.666666666666667,0.722222222222222,0.888888888888889,0.611111111111111,0.731111111111111,0.666666666666667,0.611111111111111,0.833333333333333,0.833333333333333,0.777777777777778,0.777777777777778,0.833333333333333,0.555555555555556,0.777777777777778,0.722222222222222,0.722222222222222,0.666666666666667
"20","MT",0.555555555555556,0.633333333333333,0.555555555555556,0.722222222222222,0.777777777777778,1,0.555555555555556,0.611111111111111,0.777777777777778,0.5,0.611111111111111,0.555555555555556,0.477777777777778,0.777777777777778,0.333333333333333,0.277777777777778,0.555555555555556,0.458888888888889,0.388888888888889,0.333333333333333,0.722222222222222,0.555555555555556,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889,0.611111111111111,0.666666666666667,0.333333333333333,0.333333333333333
"21","NL",0.558888888888889,0.53,0.5,0.555555555555556,0.444444444444444,0.666666666666667,0.611111111111111,0.611111111111111,0.666666666666667,0.277777777777778,0.5,0.222222222222222,0.588888888888889,0.611111111111111,0.444444444444444,0.777777777777778,0.444444444444444,0.717777777777778,0.722222222222222,0.777777777777778,0.833333333333333,0.722222222222222,0.722222222222222,0.722222222222222,0.555555555555556,0.611111111111111,0.611111111111111,0.777777777777778,0.777777777777778,0.777777777777778
"22","PL",0.613333333333333,0.558888888888889,0.5,0.444444444444444,0.611111111111111,0.833333333333333,0.555555555555556,0.5,0.666666666666667,0.555555555555556,0.5,0.333333333333333,0.666666666666667,0.888888888888889,0.444444444444444,0.611111111111111,0.722222222222222,0.542222222222222,0.5,0.333333333333333,0.722222222222222,0.666666666666667,0.444444444444444,0.611111111111111,0.722222222222222,0.611111111111111,0.611111111111111,0.444444444444444,0.5,0.333333333333333
"23","PT",0.568888888888889,0.592222222222222,0.5,0.555555555555556,0.666666666666667,0.666666666666667,0.666666666666667,0.722222222222222,0.555555555555556,0.444444444444444,0.5,0.555555555555556,0.544444444444445,0.555555555555556,0.444444444444444,0.611111111111111,0.5,0.611111111111111,0.666666666666667,0.444444444444444,0.722222222222222,0.666666666666667,0.555555555555556,0.666666666666667,0.555555555555556,0.611111111111111,0.5,0.666666666666667,0.555555555555556,0.722222222222222
"24","RO",0.602222222222222,0.525555555555556,0.444444444444444,0.5,0.555555555555556,0.444444444444444,0.611111111111111,0.666666666666667,0.5,0.5,0.555555555555556,0.555555555555556,0.677777777777778,0.777777777777778,0.5,0.722222222222222,0.666666666666667,0.555555555555556,0.555555555555556,0.611111111111111,0.666666666666667,0.555555555555556,0.611111111111111,0.555555555555556,0.611111111111111,0.444444444444444,0.5,0.555555555555556,0.555555555555556,0.444444444444444
"25","SE",0.588888888888889,0.6,0.555555555555556,0.444444444444444,0.444444444444444,0.833333333333333,0.722222222222222,0.888888888888889,0.777777777777778,0.5,0.5,0.444444444444444,0.577777777777778,0.555555555555556,0.444444444444444,0.833333333333333,0.388888888888889,0.717777777777778,0.611111111111111,0.833333333333333,0.833333333333333,0.722222222222222,0.666666666666667,0.611111111111111,0.777777777777778,0.777777777777778,0.666666666666667,0.555555555555556,0.722222222222222,0.833333333333333
"26","SI",0.625555555555556,0.663333333333333,0.666666666666667,0.5,0.666666666666667,0.777777777777778,0.777777777777778,0.833333333333333,0.666666666666667,0.5,0.555555555555556,0.555555555555556,0.588888888888889,0.777777777777778,0.555555555555556,0.388888888888889,0.555555555555556,0.56,0.555555555555556,0.444444444444444,0.666666666666667,0.666666666666667,0.555555555555556,0.555555555555556,0.722222222222222,0.444444444444444,0.444444444444444,0.555555555555556,0.555555555555556,0.555555555555556
"27","SK",0.586666666666667,0.585555555555555,0.555555555555556,0.611111111111111,0.555555555555556,0.666666666666667,0.722222222222222,0.777777777777778,0.555555555555556,0.5,0.555555555555556,0.5,0.588888888888889,0.777777777777778,0.444444444444444,0.388888888888889,0.555555555555556,0.476666666666667,0.444444444444444,0.388888888888889,0.666666666666667,0.611111111111111,0.444444444444444,0.444444444444444,0.555555555555556,0.444444444444444,0.444444444444444,0.388888888888889,0.444444444444444,0.444444444444444
