"","Country","VDM_v2x_liberal","VDM_v2xlg_legcon","VDM_v2psoppaut","VDM_v2cltrnslw","VDM_v2lgqstexp","VDM_v2lginvstp","VDM_v2lgoppart","VDM_v2x_jucon","VDM_v2juhcind","VDM_v2juncind","VDM_v2lgotovst","VDM_v2x_polyarchy","VDM_v2x_suffr","VDM_v2xel_frefair","VDM_v2x_elecoff","VDM_v2xdd_dd","VDM_v2elembaut","VDM_v2elembcap","VDM_v2elrgstry","VDM_v2elvotbuy","VDM_v2elirreg","VDM_v2elintim","VDM_v2elpeace","VDM_v2x_libdem","VDM_v2x_freexp_altinf","VDM_v2x_frassoc_thick","VDM_v2merange","VDM_v2meslfcen","VDM_v2mecrit","VDM_v2cldiscm","VDM_v2cldiscw","VDM_v2psbars","VDM_v2cscnsult","VDM_v2exrescon","VDM_v2jucomp","VDM_v2juhccomp","VDM_v2mecenefm","VDM_v2meharjrn","VDM_v2cseeorgs","VDM_v2csreprss","VDM_v2cltort","VDM_v2clkill","VDM_v2clslavem","VDM_v2clslavef","VDM_v2clprptym","VDM_v2clprptyw","VDM_v2clrelig","VDM_v2xcl_rol","VDM_v2csgender","VDM_v2clacjust","VDM_v2clsocgrp","VDM_v2pepwrgen","VDM_v2pepwrses","VDM_v2pepwrsoc","VDM_v2clfmove","VDM_v2cldmovem","VDM_v2cldmovew","VDM_v2clacjstm","VDM_v2clacjstw","VDM_v2caassemb","VDM_v2jupoatck","VDM_v2exbribe","VDM_v2lgcrrpt","VDM_v2exembez","VDM_v2elffelr","VDM_v2clrspct"
"11","FI",0.964,0.965,0.909739454094293,0.9273201100333,0.904340315266681,0.8190822053483,0.882126089872569,0.964,0.864356582259736,0.853841444750536,0.934608695652174,0.861,1,0.965,1,0.015,0.803525689317463,1,NA,NA,NA,NA,NA,0.816,0.962,0.854,0.781808035714286,0.82192,0.917111459968603,0.889472059277555,0.974563337290147,0.770035356511491,0.9311986863711,0.852648138437336,0.888060836501901,0.919873245812585,0.88758231420508,0.915997621171573,0.694042891183479,0.919661115980134,0.980044676098287,0.973406842873358,0.855430183356841,0.902879728966685,0.955796632124352,0.793483626789534,0.962519936204147,0.98,0.905364062818682,0.937046004842615,0.874295831321423,0.987203495630462,0.959992343032159,0.750788120126099,0.786849822503473,0.956336996336996,0.981252603805027,0.929052389554935,0.722178249168909,0.854320987654321,0.91789841440473,0.86144578313253,0.871654501216545,0.958750907770516,0.890588049818698,0.809877209553367
"12","FR",0.924,0.922,0.895006203473945,0.771825684088606,0.812567480025912,0.801089468471443,0.816901408450704,0.937,0.738486598548793,0.772574227119682,0.725391304347826,0.873714285714286,1,0.95,1,0.033,0.778363718547536,0.88976248976249,0.923461336138874,0.866487110427087,0.962790697674419,1,0.638728323699422,0.801857142857143,0.96,0.895166666666667,0.757068452380953,0.97808,0.939246467817896,0.867242976227231,0.886552484314058,0.916912197996464,0.627093596059113,0.791295228106974,0.924562737642586,0.852271012524521,0.850266541235497,0.854594112399643,0.750436854646545,0.909290096406661,0.750856291883842,0.905140262688503,0.783321579689704,0.748353096179183,0.950453367875648,0.927431298337996,0.814673046251994,0.938,0.993677340403834,0.742130750605327,0.706743924030259,0.850031210986267,0.700229709035222,0.741164758586361,0.907238771415342,0.807032967032967,0.826551867796139,0.614058137625226,0.726769035934779,0.866203703703704,0.856087073367374,0.739788421980605,0.701186131386861,0.760493827160494,0.879867570550213,0.797193361219808
"13","HR",0.887,0.858,0.728908188585608,0.585203416823512,0.92852515655366,0.648728953449983,0.630114017437961,0.944,0.680290241374204,0.711662075298439,0.734086956521739,0.738,1,0.924,1,0.224,0.72773843604038,0.867321867321867,NA,NA,NA,NA,NA,0.648,0.797,0.829,0.749255952380953,0.62032,0.772998430141287,0.776011114541525,0.719857554688825,0.888037713612257,0.474384236453202,1,0.898250950570342,0.938735476082692,0.610222640326121,0.587719298245614,0.743764892772041,0.743061641834648,0.795681310498883,0.924112210150803,0.685472496473907,0.676642198381329,0.939119170984456,0.927924962975152,0.798086124401914,0.892,0.902916581684683,0.680733310273262,0.5593111218413,0.715511860174782,0.625191424196018,0.563298490127758,0.72542058959716,0.81992673992674,0.9384807665602,0.596157004434226,0.695899952509102,0.765586419753086,0.654528352593389,0.607846018219218,0.462287104622871,0.662164124909223,0.8440800882863,0.556065308325462
"14","HU",0.69,0.564,0.547301488833747,0.38337918054148,0.717987475707191,0.488940244305051,0.453386988598256,0.631,0.320154005627129,0.660238751147842,0.446086956521739,0.44475,1,0.593666666666667,1,0.302,0.508211541359048,0.695167895167895,0.861125723303525,0.364178530203925,0.49661733615222,0.355812308417826,0.680154142581888,0.33675,0.511,0.686,0.454241071428572,0.43184,0.447880690737834,0.768292682926829,0.757673393250805,0.798909840895698,0.346469622331691,0.617724174095438,0.662509505703422,0.71827372868568,0.480401379742866,0.527802557240559,0.577601270849881,0.572889278410751,0.834847356664185,0.971461002107994,0.727609308885754,0.653491436100132,0.913050518134715,0.882343261477703,0.752791068580542,0.895,0.94126045278401,0.607575233483224,0.578786415580235,0.580992509363296,0.606814701378254,0.57507881201261,0.930081802747338,0.934358974358974,0.969587557283711,0.62424043356873,0.658223840430584,0.656481481481482,0.470034936844934,0.274022920952101,0.211222627737226,0.352360203340596,0.635503704871512,0.530157873431386
"15","IE",0.934,0.881,0.945719602977668,0.85536412335312,0.969121140142518,0.735391218223836,0.599932930918846,0.958,0.885680438323708,0.844658708295072,0.724173913043478,0.889,1,0.946,1,0.208,0.855657676661142,0.758886158886159,NA,NA,NA,NA,NA,0.824,0.976,0.907,0.971354166666667,0.96352,0.918367346938775,0.955541833899352,0.976428692555537,0.832498526812021,0.937931034482759,0.90596049641671,0.849125475285171,0.853478195261808,0.923173408592035,0.861581920903955,0.877998411437649,0.993718959976629,0.899329858525689,0.937570942111237,0.885225669957687,0.868435911914173,0.91985103626943,0.872305413855521,0.952472089314195,0.978,0.922904344279013,0.890003459010723,0.827941413165942,0.693664169787765,0.809915773353752,0.794922847187656,0.910325667541287,0.926886446886447,0.905846410220803,0.851699786500246,0.834889979420611,0.92037037037037,0.821284600913733,0.821627975315898,0.647506082725061,0.887581699346405,0.930789847075516,0.800296856024828
"16","IT",0.916,0.951,0.91470223325062,0.670479223975677,0.990498812351544,0.763288213931991,0.901576123407109,0.869,0.711387531467496,0.757728803183349,0.812,0.84575,1,0.945666666666667,0.985,0.366,0.770528853397619,0.884029484029484,0.956864807995792,0.618122354751828,0.871035940803383,0.975949068615893,1,0.7685,0.922,0.896666666666667,0.877790178571429,0.68016,0.724646781789639,0.914479777709169,0.941156520264541,0.953152622274602,0.708866995073892,0.77434015032337,0.748897338403042,0.760374226648559,0.886171213546566,0.815046089800773,0.78856235107228,0.948583114227286,0.7198808637379,0.875952651208043,0.671015514809591,0.658385093167702,0.94300518134715,0.873128188250782,0.903827751196172,0.946,0.951254334081175,0.85852646143203,0.705939159826171,0.82521847690387,0.887251148545176,0.857806537249046,0.855070226886865,0.962344322344322,0.98264129981947,0.86516669403843,0.83678961532373,0.883024691358025,0.652915882827197,0.724654716426682,0.602493917274939,0.826724763979666,0.8500709443481,0.636621238699231
"17","LT",0.949,0.966,0.802574441687345,0.599681482553931,0.873677391492118,0.891383294816771,0.723172367538565,0.961,0.908929364726788,0.820324456688093,0.984347826086957,0.797,1,0.885,1,0.302,0.716287479282809,0.791482391482391,NA,NA,NA,NA,NA,0.741,0.929,0.843,0.931733630952381,0.84496,0.783045525902669,0.721673355974066,0.709004578599288,0.872569239835003,0.614449917898194,0.943541338926761,0.868897338403042,0.829787234042553,0.82549388523048,0.803895331549212,0.749166004765687,0.872918492550394,0.779002233804914,0.929625425652668,0.822108603667137,0.736118953510258,0.897182642487047,0.942899456968899,0.799362041467305,0.94,0.903324495207016,0.707194742303701,0.709480122324159,0.784176029962547,0.721094946401225,0.874398539903766,0.89658897978083,0.907106227106227,0.936119983335648,0.771062571850879,0.8234921640019,0.919598765432099,0.710024187046493,0.767117249485748,0.682177615571776,0.94320987654321,NA,0.604236945081635
"18","LU",0.907,0.914,0.859646401985112,0.83147531489793,0.943640682358022,0.779795311984153,0.816901408450704,0.849,0.752406337923886,0.802418120599939,0.632695652173913,0.881,1,0.954,1,0.143,0.929034202199789,0.923832923832924,NA,NA,NA,NA,NA,0.797,0.962,0.899,0.952566964285714,0.84784,0.846467817896389,0.941803025625193,0.833813803628964,0.767678255745433,0.979146141215107,0.758084251005069,0.67893536121673,0.685227101252452,0.929288178112261,0.743383883437407,0.974741858617951,0.9617294770669,0.890394638868206,0.849683800875628,0.915902679830747,0.893845285149633,0.920174870466321,0.900937962810597,0.872567783094099,0.981,0.754436059555374,1,0.850957669402865,0.764513108614232,0.837672281776417,0.794922847187656,0.932860009260688,0.929377289377289,0.939175114567421,0.899655115782559,0.893462086433434,0.877006172839506,0.845874764848159,0.903026741110785,0.893248175182482,0.955700798838054,0.859687844868359,0.881662393739037
"19","LV",0.898,0.799,0.903225806451613,0.767916606341393,0.705463182897862,0.55282271376692,0.652246814218645,0.946,1,0.772421181512091,0.786434782608696,0.829666666666667,1,0.911,1,0.171,0.879764954045502,0.721212121212121,0.338243029984219,0.7375913813005,0.949894291754757,0.970761612827163,0.89378612716763,0.740666666666667,0.937,0.878,0.897879464285714,0.69488,0.863893249607535,0.935473911701142,0.954383584873665,0.828815556865056,0.867487684729064,0.844957175319,0.788136882129278,0.801720235400634,0.732674819692694,0.722866488254535,0.923431294678316,0.936459246275197,0.942218912881608,0.854710556186152,0.970909732016925,0.986448334274421,0.89005829015544,0.848280401513905,0.90414673046252,0.972,0.949622679991842,0.918194396402629,0.728150651859005,0.771535580524345,0.734494640122512,0.622034179525469,0.868652569841025,0.914871794871795,0.970420774892376,0.789456396781081,0.753522241570366,0.841820987654321,0.690271432410642,0.841316485454011,0.606447688564477,0.788380537400145,0.850543906668769,0.888948859802996
"20","MT",0.81,0.711,0.904466501240695,0.625018097582163,0.613474411574174,0.393859359524596,0.708417169684775,0.837,0.778172664001185,0.76232017141108,0.734782608695652,0.781,1,0.897,1,0.303,0.678318517402441,0.790663390663391,0.765123619147817,0.652943439784533,0.921987315010571,0.90804055647253,0.78733140655106,0.641,0.834,0.904333333333333,0.970610119047619,0.62656,0.564678178963893,0.771225686940414,0.790910632525013,0.906010606953447,0.710344827586207,0.697954902988988,0.664942965779468,0.684170816357326,0.667920978363123,0.522598870056497,0.941223193010326,0.844434706397897,0.765003723008191,0.829252472839306,0.899682651622003,0.858836815358554,0.82755829015544,0.822938950139872,0.839393939393939,0.913,0.90128492759535,0.803528190937392,0.611137936584581,0.841292134831461,0.773162327718223,0.769868923179028,0.8982867726501,0.783443223443223,0.798083599500069,0.670881918213171,0.706506252968181,0.937037037037037,0.668368718086536,0.451366441375257,0.552463503649635,0.605374001452433,0.882862998581113,0.64161381729861
"21","NL",0.953,0.969,0.936104218362283,0.704937020414073,0.88101921831138,0.846483988114889,0.948692152917505,0.958,0.779209240337628,0.899602081420263,0.894608695652174,0.852,1,0.948,1,0.015,0.957510923610065,0.92972972972973,NA,NA,NA,NA,NA,0.8,0.924,0.892,0.837983630952381,0.732,0.909733124018838,0.932540907687558,0.802441919620146,0.857248084855628,0.929720853858785,0.844432791470023,0.863117870722434,0.931643277501132,0.71307619943556,0.705322628605412,0.782366957903098,0.918346479696173,0.962620997766195,0.867682827955246,0.813293370944993,0.791454921889704,0.826262953367876,0.794141846305743,0.944019138755981,0.953,0.755047929838874,0.809408509166378,0.836471913729277,0.837702871410737,0.870022970903522,0.67595818815331,0.807995060966199,0.922783882783883,0.876267185113179,0.807521760551815,0.738958366313123,0.858024691358025,0.702902445579145,0.803261827799001,0.709397810218978,0.971822803195352,0.917862210310579,0.71623262717582
"22","PL",0.703,0.7,0.837003722084367,0.477920949761112,0.810839991362557,0.50808847804556,0.554828973843058,0.607,0.44735673034207,0.671564126109581,0.590260869565217,0.574,1,0.726,1,0.115,0.547084526141329,0.768386568386568,NA,NA,NA,NA,NA,0.425,0.61,0.839,0.733444940476191,0.46128,0.543642072213501,0.764587835751775,0.683907071392233,0.879935179728933,0.386699507389163,0.535221115189652,0.614296577946768,0.640410442130677,0.398243963624961,0.497175141242938,0.681334392374901,0.653374233128834,0.654951600893522,0.838657369871899,0.774682651622003,0.757011104837192,0.842778497409326,0.832154023366793,0.782615629984051,0.817,0.705282480114216,0.76997578692494,0.84178335747626,0.739076154806492,0.940849923430322,0.661689065870251,0.815557956474765,0.816996336996337,0.833078739064019,0.494005583839711,0.523349691309166,0.627469135802469,0.305831765654394,0.674404936820453,0.543035279805353,0.659114015976761,0.873246098060854,0.585615976251518
"23","PT",0.892,0.857,0.928194789081886,0.67786303749819,0.958324335996545,0.660118851105976,0.65710932260228,0.94,0.857100547904635,0.767829813284359,0.670434782608696,0.847666666666667,1,0.954666666666667,1,0.06,0.805183064637637,0.815397215397215,0.921357180431352,1,1,0.964159396368781,0.94364161849711,0.754333333333333,0.934,0.866333333333333,0.786830357142857,0.83872,0.757142857142857,1,0.820078005765644,0.87286387743076,0.703612479474549,0.728194371613354,0.81277566539924,0.936321110608118,0.896832862966447,0.820398453761522,0.779030976965846,0.871019573473561,0.682799702159345,0.852278255229447,0.813822284908321,0.751176359872012,0.921470207253886,0.918051670232022,0.950877192982456,0.907,0.96186008566184,0.734866828087167,0.764847899565427,0.714263420724095,0.666730474732006,0.721420275427244,0.766321963265936,0.971575091575092,0.850437439244549,0.591394317621941,0.659015355390217,0.752777777777778,0.822225208277345,0.639288862768146,0.540450121654501,0.75599128540305,0.937726627778654,0.624612063149373
"24","RO",0.78,0.681,0.7799317617866,0.466483277834081,0.777153962427122,0.445031363486299,0.720657276995305,0.837,0.694209980749297,0.68304254667891,0.495478260869565,0.689,1,0.862,1,0.534,0.698659032695495,0.777231777231777,NA,NA,NA,NA,NA,0.547,0.757,0.82,0.629092261904762,0.55792,0.576609105180534,0.942420500154369,0.902831948448364,0.841926929876252,0.4688013136289,0.726970809299074,0.735057034220532,0.74468085106383,0.61508309814989,0.549509366636931,0.796187450357426,0.823692667250949,0.74132539091586,0.97437976325604,0.737482369534556,0.714473931865236,0.921632124352332,0.826888267237124,0.70622009569378,0.848,0.872527024270855,0.61034244206157,0.577659745694512,0.654806491885144,0.603177641653905,0.701012112161938,0.754283068374749,0.745347985347985,0.814609082071934,0.5892593200854,0.574164951717587,0.671913580246913,0.557511421660844,0.636350279165442,0.383515815085158,0.616557734204793,0.841557622576068,0.584536499797598
"25","SE",0.982,0.989,0.906637717121588,1,1,1,0.944835680751174,0.979,0.934843773137865,0.945974900520355,1,0.898,1,0.949,1,0.028,0.841795992165135,0.913349713349713,0.886375591793793,0.878030011542901,0.848625792811839,0.958264560245225,0.803227360308285,0.86825,0.97,0.927333333333333,1,0.8568,0.968445839874411,0.800555727076258,0.822960827539427,0.955657041838539,0.693103448275862,0.815242090543611,0.929885931558935,0.909913988229968,0.885857635622452,0.77624145108534,0.863701350277998,0.998101080923167,0.989128816083395,0.996270471866386,1,1,1,0.840546322198453,0.973524720893142,0.989,0.872119110748521,0.871670702179177,0.807822308063737,0.950842696629214,0.798238897396631,0.711465073834412,0.907547461027936,0.937728937728938,0.898347451742813,0.812284447364099,0.863384517967389,0.877623456790123,0.885111529158828,0.990155744930943,0.867092457420924,0.977051561365287,0.942456250985338,0.948859802995547
"26","SI",0.889333333333333,0.910666666666667,0.877946650124069,0.599102359924714,0.908011228676312,0.637724221415208,0.864520456069752,0.829,0.831334221827336,0.841291704928068,0.793913043478261,0.798833333333333,1,0.9286,1,0.258,0.689769474160012,0.762162162162162,0.871383482377696,0.615621392843401,0.935517970401691,0.950483376562132,0.890895953757225,0.703285714285714,0.844,0.8916,0.72749255952381,0.6624,0.704395604395604,0.874189564680457,0.898931660166186,0.912934590453742,0.593431855500821,0.759133018703024,0.589657794676806,0.615512298174136,0.512543116964566,0.506690454950937,0.771882446386021,0.922874671340929,0.85867460908414,0.933679260580509,0.872002820874471,0.795595708639187,0.944624352331606,0.937469145960178,0.880382775119617,0.953,0.952885988170508,0.828778969214805,0.80766135522292,0.695692883895131,0.840160796324655,0.710469553675129,0.887328291402994,0.907106227106227,0.916678239133454,0.72409262604697,0.752097514643027,0.666358024691358,0.358774522977694,0.711871877754922,0.218978102189781,0.684531590413943,0.85621945451679,0.729995951963298
