"","Country","SPE_523_qa15_5","SPE_523_qa15_6","SPE_523_qa15_7","SPE_523_qa15_13","SPE_523_qa5","SPE_523_qa6","SPE_523_qa7_2","SPE_523_qa7_4","SPE_523_qa7_8","SPE_523_qa7_9","SPE_523_qa7_12","SPE_523_qa10","SPE_523_qa15_1","SPE_523_qa15_2","SPE_523_qa15_3","SPE_523_qa15_4","SPE_523_qa15_8","SPE_523_qa15_9","SPE_523_qa15_11","SPE_523_qa15_12"
"11","FR",0.348536678069175,0.260902540766022,0.324716020368194,0.368855844692276,0.403490759753593,0.360277777777778,0.813165537270087,0.901258470474347,0.581800580832527,0.630203291384318,0.934172313649564,0.4716796875,0.365132809577254,0.337411939191694,0.441704035874439,0.900067069081154,0.28003003003003,0.387871853546911,0.475826972010178,0.331779331779332
"12","EL",0.356628982528263,0.185781354795439,0.297509382463323,0.255486968449931,0.171333333333333,0.312816616008105,0.333662388943732,0.59822309970385,0.341559723593287,0.327739387956565,0.745310957551826,0.524524524524524,0.185602183555101,0.15650406504065,0.197244623655914,0.441351888667992,0.173279077653442,0.192666666666667,0.308731808731809,0.219579455360221
"13","HR",0.362745098039216,0.250336021505376,0.35093062605753,0.435109289617486,0.192398250924992,0.243680485338726,0.572289156626506,0.724899598393574,0.448795180722892,0.475903614457831,0.741967871485944,0.496475327291037,0.190716448032291,0.175739247311828,0.226057529610829,0.406035665294925,0.234517766497462,0.199932795698925,0.255384615384615,0.252803261977574
"14","HU",0.405040823571175,0.224365482233503,0.409601634320735,0.43217665615142,0.248826291079812,0.276369168356998,0.769685039370079,0.836614173228346,0.505905511811024,0.639763779527559,0.892716535433071,0.310756972111554,0.253593429158111,0.229873244261733,0.280810161345692,0.696416497633536,0.244331641285956,0.299039780521262,0.324838600067958,0.26346284935242
"15","IE",0.40359477124183,0.336546184738956,0.417945690672963,0.48013816925734,0.422480620155039,0.410249457700651,0.89515331355094,0.91295746785361,0.676557863501484,0.675568743818002,0.927794263105836,0.43043043043043,0.366991078669911,0.363599677158999,0.403794037940379,0.780931586608443,0.306878306878307,0.391234418978689,0.473056197074673,0.376078431372549
"16","IT",0.437256981265465,0.313483915126626,0.41192692175112,0.453557658604977,0.267530741110003,0.373598369011213,0.68338249754179,0.722713864306785,0.416912487708948,0.419862340216323,0.748279252704032,0.562933597621407,0.265913757700205,0.239368998628258,0.282233502538071,0.661899897854954,0.255670103092783,0.284786324786325,0.360627772091436,0.290422245108136
"17","LT",0.432058287795993,0.275825346112886,0.393613204162182,0.408549116317304,0.306446053085143,0.501573976915005,0.832007952286282,0.78727634194831,0.472166998011928,0.510934393638171,0.850894632206759,0.482793522267206,0.288377192982456,0.293437733035048,0.394393241167435,0.757703081232493,0.240542469664525,0.273540995345507,0.346182085168869,0.326207442596991
"18","LU",0.487574978577549,0.452674897119342,0.535802469135802,0.541666666666667,0.566104078762307,0.439814814814815,0.911067193675889,0.928853754940711,0.743083003952569,0.727272727272727,0.932806324110672,0.56425702811245,0.480693459416864,0.489731437598736,0.53495217071376,0.82815734989648,0.408372827804107,0.471544715447154,0.499620349278664,0.468292682926829
"19","LV",0.337434750186428,0.262419006479482,0.304647785039942,0.38476411446249,0.314413484692122,0.454298150163221,0.792694965449161,0.883514313919052,0.44817374136229,0.465942744323791,0.892398815399803,0.511904761904762,0.348828828828829,0.321428571428571,0.465254552211074,0.738144329896907,0.227207977207977,0.282529239766082,0.422125181950509,0.288198298187199
"20","MT",0.439890710382514,0.257217847769029,0.477317554240631,0.542836573074154,0.266798418972332,0.342105263157895,0.755877034358047,0.84629294755877,0.580470162748644,0.493670886075949,0.91500904159132,0.472222222222222,0.283898305084746,0.252566735112936,0.304950495049505,0.599365079365079,0.219160104986877,0.252525252525252,0.365485564304462,0.248109965635739
"21","NL",0.50269687162891,0.353697749196141,0.425262395946435,0.514180478821363,0.501002004008016,0.342951991828396,0.757726819541376,0.816550348953141,0.396809571286142,0.385842472582253,0.929212362911266,0.449899799599198,0.487745098039216,0.481634054239615,0.586558044806517,0.899113837764145,0.306241426611797,0.483893557422969,0.69281045751634,0.546402502606882
"22","PL",0.482375478927203,0.364366557137641,0.46043956043956,0.518389469608982,0.453179594689029,0.496611053180396,0.875123885034688,0.890981169474727,0.690782953419227,0.727452923686819,0.896927651139742,0.362362362362362,0.353546490260933,0.329360780065005,0.4069640914037,0.574712643678161,0.304080895630191,0.322534197264219,0.367879456082323,0.318494390155628
"23","PT",0.381507381507382,0.252604166666667,0.345132743362832,0.4285140562249,0.239137990962808,0.328485181119649,0.611940298507463,0.675621890547264,0.522388059701492,0.533333333333333,0.749253731343284,0.511604439959637,0.266666666666667,0.25037037037037,0.324334458192726,0.546130952380952,0.282407407407407,0.286363636363636,0.387921022067364,0.277127244340359
"24","RO",0.486842105263158,0.35175530066041,0.439092495636998,0.503775620280475,0.32168995342648,0.402482269503546,0.697203471552555,0.745419479267117,0.627772420443587,0.611378977820636,0.72420443587271,0.291666666666667,0.249574395641811,0.258879781420765,0.35379188712522,0.484118673647469,0.321910695742471,0.309208290859667,0.331615120274914,0.322905804657629
"25","SE",0.396149949341439,0.390909090909091,0.456462585034014,0.593007467752885,0.58364898989899,0.380087209302326,0.955702167766258,0.868991517436381,0.556079170593779,0.64373232799246,0.849198868991517,0.444022770398482,0.50354609929078,0.536175710594315,0.672721478648821,0.875159642401022,0.40402075226978,0.646118721461187,0.738026358084217,0.565217391304348
"26","SI",0.283246977547496,0.22004132231405,0.270186335403727,0.359498207885305,0.250845165652468,0.246134020618557,0.690854870775348,0.773359840954274,0.42544731610338,0.498011928429423,0.826043737574553,0.563819095477387,0.27891156462585,0.248345524207593,0.343859649122807,0.643631436314363,0.249738766980146,0.251202749140893,0.342818428184282,0.29039070749736
"27","SK",0.429621462697538,0.305676855895196,0.406477438136827,0.437254901960784,0.296030116358658,0.386880165289256,0.680872150644202,0.682854311199207,0.510406342913776,0.550049554013875,0.734390485629336,0.408308004052685,0.308970099667774,0.245065176908752,0.292417417417417,0.587852494577007,0.270742358078603,0.299707602339181,0.378409090909091,0.28550241008528
